Assembly Accession,Assembly BioSample Description Organism Name,ANI Best ANI match ANI,ANI Best ANI match Assembly,ANI Best ANI match Assembly Coverage,ANI Best ANI match Type Category,ANI Best ANI match Organism,ANI Best ANI match Type Assembly Coverage,ANI Best match status,ANI Category,ANI Check status,ANI Comment,ANI Declared ANI match ANI,ANI Declared ANI match Assembly,ANI Declared ANI match Assembly Coverage,ANI Declared ANI match Type Category,ANI Declared ANI match Organism,ANI Declared ANI match Type Assembly Coverage,ANI Submitted organism,ANI Submitted species,Annotation Count Gene Non-coding,Annotation Count Gene Other,Annotation Count Gene Protein-coding,Annotation Count Gene Pseudogene,Annotation Count Gene Total,Annotation Method,Annotation Provider,Annotation Release Date,Annotation Software Version,Assembly Assembly Method,Assembly Atypical Is Atypical,Assembly Atypical Warnings,Assembly BioProject Accession,Assembly BioProject Lineage Accession,Assembly BioProject Lineage Parent Accessions,Assembly BioProject Lineage Title,Assembly BioSample Accession,Assembly BioSample Attribute Name,Assembly BioSample Attribute Value,Assembly BioSample Biomaterial provider,Assembly BioSample BioProject Accession,Assembly BioSample Collected by,Assembly BioSample Collection date,Assembly BioSample Description Comment,Assembly BioSample Description Organism Name,Assembly BioSample Description Organism Taxonomic ID,Assembly BioSample Description Title,Assembly BioSample Development stage,Assembly BioSample Geographic location,Assembly BioSample Host,Assembly BioSample Identified by,Assembly BioSample Sample Identifiers Database,Assembly BioSample Sample Identifiers Value,Assembly BioSample IFSAC category,Assembly BioSample Isolate,Assembly BioSample Isolate name alias,Assembly BioSample Isolation source,Assembly BioSample Last updated,Assembly BioSample Latitude and Longitude,Assembly BioSample Models,Assembly BioSample Owner Contact Lab,Assembly BioSample Owner Name,Assembly BioSample Package,Assembly BioSample Project name,Assembly BioSample Publication date,Assembly BioSample Sample name,Assembly BioSample Status Status,Assembly BioSample Status When,Assembly BioSample Strain,Assembly BioSample Submission date,Assembly BioSample Tissue,Assembly Level,Assembly Name,Assembly Notes ,Assembly Paired Assembly Accession,Assembly Paired Assembly Name,Assembly Paired Assembly Status,Assembly Refseq Category,Assembly Release Date,Assembly Sequencing Tech,Assembly Status,Assembly Submitter,Assembly Type,Assembly Stats ATGC Count,Assembly Stats Contig L50,Assembly Stats Contig N50,Assembly Stats GC Count,Assembly Stats GC Percent,Assembly Stats Genome Coverage,Assembly Stats Number of Component Sequences,Assembly Stats Number of Contigs,Assembly Stats Number of Scaffolds,Assembly Stats Scaffold L50,Assembly Stats Scaffold N50,Assembly Stats Total Number of Chromosomes,Assembly Stats Total Sequence Length,Assembly Stats Total Ungapped Length,CheckM completeness,CheckM completeness percentile,CheckM contamination,CheckM marker set,CheckM marker set rank,CheckM species tax id,CheckM version,Current Accession,Organism Infraspecific Names Isolate,Organism Infraspecific Names Strain,Organism Name,Organism Taxonomic ID,Source Database,WGS project accession,WGS URL
GCA_048267385.1,Neptunomonas sp.,84.22000122,GCA_016082375.1,56.02999878,type,Neptunomonas qingdaonensis,49.66999817,genus_match,category_na,OK,na,,no-type,,no_type,na,,Neptunomonas sp.,Neptunomonas sp.,,,,,,,,,,SPAdes v. 3.12.0; Megahit v. 1.2.9,,,PRJNA1211307,PRJNA1211307,,MAGs from marine biofilm enrichment cultures,SAMN46274124,isolate,EA21-02,,PRJNA1211307,,2022-05,Keywords: GSC:MIxS;MIMAG:6.0,Neptunomonas sp.,1971898,MIMAG Metagenome-assembled Genome sample from Neptunomonas sp.,,China: Qingdao,,,,EA21-02,,EA21-02,,marine biofilm enrichment culture containing L-Methionine as the sole carbon source.,2025-02-28T16:38:32.368,36.04 N 120.26 E,MIMAG.microbial,,Ocean University of China,MIMAG.microbial.6.0,,2025-01-16T00:00:00.000,,live,2025-01-16T05:50:07.796,,2025-01-16T05:50:07.793,,Scaffold,ASM4826738v1,derived from metagenome,,,,,2025-02-28,Illumina; Oxford Nanopore,current,Ocean University of China,haploid,3951766,7,209211,1799930,45.5,12,45,47,45,7,209211,,3951966,3951766,,,,,,,,GCA_048267385.1,EA21-02,,Neptunomonas sp.,1971898,SOURCE_DATABASE_GENBANK,JBLWXO01,https://www.ncbi.nlm.nih.gov/nuccore/JBLWXO000000000.1
GCA_048268485.1,Oceanospirillum sp.,87.98999786,GCA_001995095.2,84.59999847,type,Oceanospirillum linum,78.04000092,genus_match,category_na,OK,na,,no-type,,no_type,na,,Oceanospirillum sp.,Oceanospirillum sp.,,,,,,,,,,SPAdes v. 3.12.0; Megahit v. 1.2.9,,,PRJNA1211307,PRJNA1211307,,MAGs from marine biofilm enrichment cultures,SAMN46274069,isolate,EA12-04,,PRJNA1211307,,2022-05,Keywords: GSC:MIxS;MIMAG:6.0,Oceanospirillum sp.,2021254,MIMAG Metagenome-assembled Genome sample from Oceanospirillum sp.,,China: Qingdao,,,,EA12-04,,EA12-04,,marine biofilm enrichment culture containing D-Serine as the sole carbon source.,2025-02-28T16:38:31.476,36.04 N 120.26 E,MIMAG.microbial,,Ocean University of China,MIMAG.microbial.6.0,,2025-01-16T00:00:00.000,,live,2025-01-16T05:50:07.268,,2025-01-16T05:50:07.266,,Scaffold,ASM4826848v1,"annotation fails MAG completeness check,derived from metagenome",,,,,2025-02-28,Illumina; Oxford Nanopore,current,Ocean University of China,haploid,3488857,15,77770,1713225,49,12,74,76,74,15,77770,,3488877,3488857,88.65000153,40,3.74000001,Oceanospirillum,genus,2021254,v1.2.3,GCA_048268485.1,EA12-04,,Oceanospirillum sp.,2021254,SOURCE_DATABASE_GENBANK,JBLWVL01,https://www.ncbi.nlm.nih.gov/nuccore/JBLWVL000000000.1
GCA_048269845.1,Marinomonas sp.,91.36000061,GCA_900129155.1,79.62999725,type,Marinomonas polaris,78.44000244,genus_match,category_na,OK,na,,no-type,,no_type,na,,Marinomonas sp.,Marinomonas sp.,,,,,,,,,,SPAdes v. 3.12.0; Megahit v. 1.2.9,,,PRJNA1211307,PRJNA1211307,,MAGs from marine biofilm enrichment cultures,SAMN46274033,isolate,EA09-01,,PRJNA1211307,,2022-05,Keywords: GSC:MIxS;MIMAG:6.0,Marinomonas sp.,1904862,MIMAG Metagenome-assembled Genome sample from Marinomonas sp.,,China: Qingdao,,,,EA09-01,,EA09-01,,marine biofilm enrichment culture containing L-Tryptophan as the sole carbon source.,2025-02-28T16:38:30.894,36.04 N 120.26 E,MIMAG.microbial,,Ocean University of China,MIMAG.microbial.6.0,,2025-01-16T00:00:00.000,,live,2025-01-16T05:50:06.925,,2025-01-16T05:50:06.923,,Scaffold,ASM4826984v1,derived from metagenome,GCF_048269845.1,GCF_048269845.1-RS_2025_03_02,current,,2025-02-28,Illumina; Oxford Nanopore,current,Ocean University of China,haploid,4958973,6,195885,2109721,42.5,12,43,48,43,5,309058,,4959383,4958973,97.83000183,94.73680115,4.079999924,Marinomonas,genus,1904862,v1.2.3,GCA_048269845.1,EA09-01,,Marinomonas sp.,1904862,SOURCE_DATABASE_GENBANK,JBLWUB01,https://www.ncbi.nlm.nih.gov/nuccore/JBLWUB000000000.1
GCA_048318545.1,Marinomonas sp. RS-M-Aa-14,99.93000031,GCA_026113935.1,99.34999847,type,Marinomonas rhodophyticola,98.26000214,genus_match,category_na,OK,na,,no-type,,no_type,na,,Marinomonas sp. RS-M-Aa-14,Marinomonas sp. RS-M-Aa-14,109,,4316,263,4688,Best-placed reference protein set; GeneMarkS-2+,NCBI,2024-08-15,6.8,Flye v. 2.9.1,,,PRJNA1144636,PRJNA1144636,,Marinomonas sp. RS-M-Aa-14 Genome sequencing,SAMN43041285,strain,RS-M-Aa-14,,PRJNA1144636,,2023-04-27,,Marinomonas sp. RS-M-Aa-14,3241169,Microbe sample from Marinomonas sp. RS-M-Aa-14,,"South Korea: Namhae, Mongdol beach",Acrochaetium arcuatum,,,Marinomonas_RS-M-Aa-14,,,,,2024-09-30T00:51:31.807,,"Microbe, viral or environmental",,Chung-Ang university,Microbe.1.0,,2024-09-30T00:51:31.807,,live,2024-09-30T00:51:31.807,RS-M-Aa-14,2024-08-06T03:22:04.410,,Complete Genome,ASM4831854v1,,GCF_048318545.1,GCF_048318545.1-RS_2025_03_05,current,,2025-03-03,Oxford Nanopore MinION,current,Chung-Ang university,haploid,4590960,1,4590960,2023487,44,164,1,1,1,1,4590960,1,4590960,4590960,88.19000244,,1.980000019,Marinomonas,genus,3241169,v1.2.3,GCA_048318545.1,,RS-M-Aa-14,Marinomonas sp. RS-M-Aa-14,3241169,SOURCE_DATABASE_GENBANK,,
GCA_049115855.1,Bermanella sp.,99.76000214,GCA_900455185.1,0.150000006,type,Pseudoalteromonas nigrifaciens,0.109999999,low_coverage,category_na,Inconclusive,na,,no-type,,no_type,na,,Bermanella sp.,Bermanella sp.,32,,3043,27,3102,Best-placed reference protein set; GeneMarkS-2+,NCBI,2021-03-17,5.1,CLC NGS Cell v. Jan-2021,,,PRJNA701838,PRJNA701838,,Genome and transcriptome of Braarudosphaera bigelowii FR-12 and MAGs of the related phycosphere,SAMN17935040,isolate,FR12gam4,,PRJNA701838,,2018-05-01,Keywords: GSC:MIxS;MIMAG:6.0,Bermanella sp.,2024825,MIMAG Metagenome-assembled Genome sample from Bermanella sp.,,Japan: Nagasaki,Braarudosphaera bigelowii FR-12,,,FR12gam4,,FR12gam4,,Coastal seawater,2021-03-17T10:01:56.937,33.37 N 129.52 E,MIMAG.host-associated,,Japan Agency for Marine-Earth Science and technology,MIMAG.host-associated.6.0,,2021-02-17T00:00:00.000,,live,2021-02-17T12:01:14.504,,2021-02-17T03:49:07.713,,Scaffold,ASM4911585v1,derived from metagenome,,,,,2025-03-28,Illumina HiSeq,current,Japan Agency for Marine-Earth Science and technology,haploid,3192499,30,37568,1415274,44.5,58,207,221,207,30,37568,,3193306,3192541,,,,,,,,GCA_049115855.1,FR12gam4,,Bermanella sp.,2024825,SOURCE_DATABASE_GENBANK,JAGDZL01,https://www.ncbi.nlm.nih.gov/nuccore/JAGDZL000000000.1
GCA_049115935.1,Bermanella sp.,84.08000183,GCA_900166975.1,0.050000001,type,Photobacterium toruni,0.039999999,low_coverage,category_na,Inconclusive,na,,no-type,,no_type,na,,Bermanella sp.,Bermanella sp.,34,,3429,10,3473,Best-placed reference protein set; GeneMarkS-2+,NCBI,2021-03-17,5.1,CLC NGS Cell v. Jan-2021,,,PRJNA701838,PRJNA701838,,Genome and transcriptome of Braarudosphaera bigelowii FR-12 and MAGs of the related phycosphere,SAMN17935039,isolate,FR12gam3,,PRJNA701838,,2018-05-01,Keywords: GSC:MIxS;MIMAG:6.0,Bermanella sp.,2024825,MIMAG Metagenome-assembled Genome sample from Bermanella sp.,,Japan: Nagasaki,Braarudosphaera bigelowii FR-12,,,FR12gam3,,FR12gam3,,Coastal seawater,2021-03-17T10:01:56.918,33.37 N 129.52 E,MIMAG.host-associated,,Japan Agency for Marine-Earth Science and technology,MIMAG.host-associated.6.0,,2021-02-17T00:00:00.000,,live,2021-02-17T12:01:14.487,,2021-02-17T03:49:07.700,,Scaffold,ASM4911593v1,derived from metagenome,,,,,2025-03-28,Illumina HiSeq,current,Japan Agency for Marine-Earth Science and technology,haploid,3735851,19,64611,1578920,42.5,66,117,123,117,19,64611,,3736532,3735884,,,,,,,,GCA_049115935.1,FR12gam3,,Bermanella sp.,2024825,SOURCE_DATABASE_GENBANK,JAGDZK01,https://www.ncbi.nlm.nih.gov/nuccore/JAGDZK000000000.1
GCA_049115975.1,Neptunomonas phycophila,98.23000336,GCA_001922575.1,86.87000275,type,Neptunomonas phycophila,87.69000244,species_match,category_na,OK,na,98.23000336,GCA_001922575.1,86.87000275,type,Neptunomonas phycophila,87.69000244,Neptunomonas phycophila,Neptunomonas phycophila,96,,3708,10,3814,Best-placed reference protein set; GeneMarkS-2+,NCBI,2021-03-17,5.1,CLC NGS Cell v. Jan-2021,,,PRJNA701838,PRJNA701838,,Genome and transcriptome of Braarudosphaera bigelowii FR-12 and MAGs of the related phycosphere,SAMN17935037,isolate,FR12gam2,,PRJNA701838,,2018-05-01,Keywords: GSC:MIxS;MIMAG:6.0,Neptunomonas phycophila,1572645,MIMAG Metagenome-assembled Genome sample from Neptunomonas phycophila,,Japan: Nagasaki,Braarudosphaera bigelowii FR-12,,,FR12gam2,,FR12gam2,,Coastal seawater,2021-03-17T10:01:56.880,33.37 N 129.52 E,MIMAG.host-associated,,Japan Agency for Marine-Earth Science and technology,MIMAG.host-associated.6.0,,2021-02-17T00:00:00.000,,live,2021-02-17T03:49:07.662,,2021-02-17T03:49:07.660,,Scaffold,ASM4911597v1,derived from metagenome,GCF_049115975.1,GCF_049115975.1-RS_2025_04_03,current,,2025-03-28,Illumina HiSeq,current,Japan Agency for Marine-Earth Science and technology,haploid,3913080,14,97150,1767563,45,482,107,108,107,14,97150,,3913175,3913091,99.58000183,48,3.690000057,Oceanospirillaceae,family,1572645,v1.2.3,GCA_049115975.1,FR12gam2,,Neptunomonas phycophila,1572645,SOURCE_DATABASE_GENBANK,JAGDZI01,https://www.ncbi.nlm.nih.gov/nuccore/JAGDZI000000000.1
GCA_049116075.1,Neptuniibacter sp.,81.51000214,GCA_000153345.1,10.75,type,Neptuniibacter caesariensis,9.590000153,low_coverage,category_na,Inconclusive,na,,no-type,,no_type,na,,Neptuniibacter sp.,Neptuniibacter sp.,58,,3286,15,3359,Best-placed reference protein set; GeneMarkS-2+,NCBI,2021-03-17,5.1,CLC NGS Cell v. Jan-2021,,,PRJNA701838,PRJNA701838,,Genome and transcriptome of Braarudosphaera bigelowii FR-12 and MAGs of the related phycosphere,SAMN17935036,isolate,FR12gam5,,PRJNA701838,,2018-05-01,Keywords: GSC:MIxS;MIMAG:6.0,Neptuniibacter sp.,1962643,MIMAG Metagenome-assembled Genome sample from Neptuniibacter sp.,,Japan: Nagasaki,Braarudosphaera bigelowii FR-12,,,FR12gam5,,FR12gam5,,Coastal seawater,2021-03-17T10:01:56.861,33.37 N 129.52 E,MIMAG.host-associated,,Japan Agency for Marine-Earth Science and technology,MIMAG.host-associated.6.0,,2021-02-17T00:00:00.000,,live,2021-02-17T12:01:14.468,,2021-02-17T03:49:07.643,,Scaffold,ASM4911607v1,derived from metagenome,,,,,2025-03-28,Illumina HiSeq,current,Japan Agency for Marine-Earth Science and technology,haploid,3452182,8,161790,1571426,45.5,38,39,48,39,6,257814,,3452814,3452198,,,,,,,,GCA_049116075.1,FR12gam5,,Neptuniibacter sp.,1962643,SOURCE_DATABASE_GENBANK,JAGDZH01,https://www.ncbi.nlm.nih.gov/nuccore/JAGDZH000000000.1
GCA_049595675.1,Neptuniibacter sp.,82.01999664,GCA_000153345.1,12,type,Neptuniibacter caesariensis,9.489999771,low_coverage,category_na,Inconclusive,na,,no-type,,no_type,na,,Neptuniibacter sp.,Neptuniibacter sp.,58,,2937,16,3011,Best-placed reference protein set; GeneMarkS-2+,NCBI,2025-04-09,6.10,SPAdes v. 3.15.4,,,PRJNA1214517,PRJNA1214517,,Dapeng Bay metagenome-assembled-genomes,SAMN46375579,isolation_source,sea water,,PRJNA1214517,,2021-09-10,Keywords: GSC:MIxS;MIMAG:6.0,Neptuniibacter sp.,1962643,MIMAG Metagenome-assembled Genome sample from Neptuniibacter sp.,,China: Dapeng Bay,,,,ME_XS_2109_bin_33,,ME_XS_2109_bin_33,,sea water,2025-04-02T13:21:50.441,22.5675 N 114.4555 E,MIMAG.water,,Southern University of Science and Technology,MIMAG.water.6.0,,2025-01-23T00:00:00.000,,live,2025-01-23T02:06:05.348,,2025-01-23T02:06:05.346,,Contig,ASM4959567v1,derived from metagenome,,,,,2025-04-14,Illumina HiSeq,current,Southern University of Science and Technology,haploid,3062164,21,44048,1415884,46,10,124,124,124,21,44048,,3062164,3062164,,,,,,,,GCA_049595675.1,ME_XS_2109_bin_33,,Neptuniibacter sp.,1962643,SOURCE_DATABASE_GENBANK,JBMYKU01,https://www.ncbi.nlm.nih.gov/nuccore/JBMYKU000000000.1
GCA_049596335.1,Neptuniibacter sp.,82.47000122,GCA_000153345.1,12.64999962,type,Neptuniibacter caesariensis,9.819999695,low_coverage,category_na,Inconclusive,na,,no-type,,no_type,na,,Neptuniibacter sp.,Neptuniibacter sp.,48,,2865,16,2929,Best-placed reference protein set; GeneMarkS-2+,NCBI,2025-04-09,6.10,SPAdes v. 3.15.4,,,PRJNA1214517,PRJNA1214517,,Dapeng Bay metagenome-assembled-genomes,SAMN46375561,isolation_source,sea water,,PRJNA1214517,,2021-08-19,Keywords: GSC:MIxS;MIMAG:6.0,Neptuniibacter sp.,1962643,MIMAG Metagenome-assembled Genome sample from Neptuniibacter sp.,,China: Dapeng Bay,,,,ME_XS_2108_bin53,,ME_XS_2108_bin53,,sea water,2025-04-02T13:21:50.143,22.5675 N 114.4555 E,MIMAG.water,,Southern University of Science and Technology,MIMAG.water.6.0,,2025-01-23T00:00:00.000,,live,2025-01-23T02:06:05.165,,2025-01-23T02:06:05.163,,Contig,ASM4959633v1,derived from metagenome,,,,,2025-04-15,Illumina HiSeq,current,Southern University of Science and Technology,haploid,3008223,23,45024,1390447,46,10,124,124,124,23,45024,,3008223,3008223,,,,,,,,GCA_049596335.1,ME_XS_2108_bin53,,Neptuniibacter sp.,1962643,SOURCE_DATABASE_GENBANK,JBMYLM01,https://www.ncbi.nlm.nih.gov/nuccore/JBMYLM000000000.1
GCA_049599735.1,Pontibacterium sp.,81.69000244,GCA_015209595.1,10.76000023,type,Pontibacterium sinense,7.869999886,low_coverage,category_na,Inconclusive,na,,no-type,,no_type,na,,Pontibacterium sp.,Pontibacterium sp.,55,,3072,25,3152,Best-placed reference protein set; GeneMarkS-2+,NCBI,2025-04-09,6.10,SPAdes v. 3.15.4,,,PRJNA1214517,PRJNA1214517,,Dapeng Bay metagenome-assembled-genomes,SAMN46376310,isolation_source,sea water,,PRJNA1214517,,2023-07-20,Keywords: GSC:MIxS;MIMAG:6.0,Pontibacterium sp.,2036026,MIMAG Metagenome-assembled Genome sample from Pontibacterium sp.,,China: Dapeng Bay,,,,ME_XS_2307_bin_3,,ME_XS_2307_bin_3,,sea water,2025-04-02T13:21:53.057,22.5675 N 114.4555 E,MIMAG.water,,Southern University of Science and Technology,MIMAG.water.6.0,,2025-01-23T00:00:00.000,,live,2025-01-23T03:29:06.056,,2025-01-23T03:29:06.053,,Contig,ASM4959973v1,derived from metagenome,,,,,2025-04-15,Illumina HiSeq,current,Southern University of Science and Technology,haploid,3392227,22,44454,1683243,49.5,10,136,136,136,22,44454,,3392227,3392227,,,,,,,,GCA_049599735.1,ME_XS_2307_bin_3,,Pontibacterium sp.,2036026,SOURCE_DATABASE_GENBANK,JBMYOX01,https://www.ncbi.nlm.nih.gov/nuccore/JBMYOX000000000.1
GCA_049603715.1,Pontibacterium sp.,98.81999969,GCA_002104455.1,0.910000026,type,Colwellia chukchiensis,0.75999999,low_coverage,category_na,Inconclusive,na,,no-type,,no_type,na,,Pontibacterium sp.,Pontibacterium sp.,49,,3038,15,3102,Best-placed reference protein set; GeneMarkS-2+,NCBI,2025-04-09,6.10,SPAdes v. 3.15.4,,,PRJNA1214517,PRJNA1214517,,Dapeng Bay metagenome-assembled-genomes,SAMN46376635,isolation_source,sea water,,PRJNA1214517,,2022-11-27,Keywords: GSC:MIxS;MIMAG:6.0,Pontibacterium sp.,2036026,MIMAG Metagenome-assembled Genome sample from Pontibacterium sp.,,China: Dapeng Bay,,,,ME_XS_2211_2_bin_82,,ME_XS_2211_2_bin_82,,sea water,2025-04-02T13:21:58.659,22.5675 N 114.4555 E,MIMAG.water,,Southern University of Science and Technology,MIMAG.water.6.0,,2025-01-23T00:00:00.000,,live,2025-01-23T03:33:08.684,,2025-01-23T03:33:08.683,,Scaffold,ASM4960371v1,derived from metagenome,,,,,2025-04-15,Illumina HiSeq,current,Southern University of Science and Technology,haploid,3366244,10,99800,1652677,49,10,52,57,52,10,121476,,3366648,3366244,,,,,,,,GCA_049603715.1,ME_XS_2211_2_bin_82,,Pontibacterium sp.,2036026,SOURCE_DATABASE_GENBANK,JBMYSW01,https://www.ncbi.nlm.nih.gov/nuccore/JBMYSW000000000.1
GCA_049606795.1,Marinomonas sp.,98.98000336,GCA_026191375.1,95.98999786,type,Marinomonas pontica,85.59999847,genus_match,category_na,OK,na,,no-type,,no_type,na,,Marinomonas sp.,Marinomonas sp.,31,,3001,9,3041,Best-placed reference protein set; GeneMarkS-2+,NCBI,2025-04-09,6.10,SPAdes v. 3.15.4,,,PRJNA1214517,PRJNA1214517,,Dapeng Bay metagenome-assembled-genomes,SAMN46376557,isolation_source,sea water,,PRJNA1214517,,2022-10-12,Keywords: GSC:MIxS;MIMAG:6.0,Marinomonas sp.,1904862,MIMAG Metagenome-assembled Genome sample from Marinomonas sp.,,China: Dapeng Bay,,,,ME_XS_2210_bin_73,,ME_XS_2210_bin_73,,sea water,2025-04-02T13:21:57.321,22.5675 N 114.4555 E,MIMAG.water,,Southern University of Science and Technology,MIMAG.water.6.0,,2025-01-23T00:00:00.000,,live,2025-01-23T03:33:07.912,,2025-01-23T03:33:07.910,,Contig,ASM4960679v1,"annotation fails MAG completeness check,derived from metagenome",,,,,2025-04-15,Illumina HiSeq,current,Southern University of Science and Technology,haploid,3169658,35,28999,1443743,45.5,10,187,187,187,35,28999,,3169658,3169658,87.62000275,26.31579971,1.440000057,Marinomonas,genus,1904862,v1.2.3,GCA_049606795.1,ME_XS_2210_bin_73,,Marinomonas sp.,1904862,SOURCE_DATABASE_GENBANK,JBMYVW01,https://www.ncbi.nlm.nih.gov/nuccore/JBMYVW000000000.1
GCA_049608125.1,Marinomonas sp.,83.22000122,GCA_020694005.1,0.910000026,type,Marinomonas profundi,1.190000057,low_coverage,category_na,Inconclusive,na,,no-type,,no_type,na,,Marinomonas sp.,Marinomonas sp.,36,,4433,16,4485,Best-placed reference protein set; GeneMarkS-2+,NCBI,2025-04-09,6.10,SPAdes v. 3.15.4,,,PRJNA1214517,PRJNA1214517,,Dapeng Bay metagenome-assembled-genomes,SAMN46376523,isolation_source,sea water,,PRJNA1214517,,2022-10-12,Keywords: GSC:MIxS;MIMAG:6.0,Marinomonas sp.,1904862,MIMAG Metagenome-assembled Genome sample from Marinomonas sp.,,China: Dapeng Bay,,,,ME_XS_2210_bin_20,,ME_XS_2210_bin_20,,sea water,2025-04-02T13:21:56.724,22.5675 N 114.4555 E,MIMAG.water,,Southern University of Science and Technology,MIMAG.water.6.0,,2025-01-23T00:00:00.000,,live,2025-01-23T03:33:07.572,,2025-01-23T03:33:07.570,,Contig,ASM4960812v1,derived from metagenome,,,,,2025-04-15,Illumina HiSeq,current,Southern University of Science and Technology,haploid,4746770,52,26156,1926258,40.5,10,282,282,282,52,26156,,4746770,4746770,,,,,,,,GCA_049608125.1,ME_XS_2210_bin_20,,Marinomonas sp.,1904862,SOURCE_DATABASE_GENBANK,JBMYXE01,https://www.ncbi.nlm.nih.gov/nuccore/JBMYXE000000000.1
GCA_049646805.1,Marinomonas sp.,98.97000122,GCA_039523315.1,92.40000153,type,Marinomonas arenicola,88.48000336,genus_match,category_na,OK,na,,no-type,,no_type,na,,Marinomonas sp.,Marinomonas sp.,62,,3310,18,3390,Best-placed reference protein set; GeneMarkS-2+,NCBI,2024-03-06,6.6,MegaHit v. 1.2.9,,,PRJNA1071982,PRJNA1071982,,MicroFlora Danica,SAMN40011768,collection_date,2022-07-29,,PRJNA1071982,,2022-07-29,Keywords: GSC:MIxS;MIMAG:6.0,Marinomonas sp.,1904862,NA,,Denmark,,,,MFD12156_ilm_asm_bin12,,MFD12156_ilm_asm_bin12,,Sediment from Urban Saltwater,2024-06-28T02:21:26.523,57.71596 N 10.58661 E,MIMAG,,Aalborg University,MIMAG.6.0,,2024-06-28T00:00:00.000,,live,2024-06-28T02:21:26.523,,2024-02-21T07:08:14.110,,Contig,ASM4964680v1,derived from metagenome,GCF_049646805.1,GCF_049646805.1-RS_2025_04_17,current,,2025-04-15,Illumina,current,The Microflora Danica Consortium,haploid,3578977,15,64594,1637911,46,30,109,109,109,15,64594,,3578977,3578977,90.80999756,63.15790176,3.710000038,Marinomonas,genus,1904862,v1.2.3,GCA_049646805.1,MFD12156_ilm_asm_bin12,,Marinomonas sp.,1904862,SOURCE_DATABASE_GENBANK,JBARWL01,https://www.ncbi.nlm.nih.gov/nuccore/JBARWL000000000.1
GCA_049648555.1,Marinomonas sp.,99.05000305,GCA_039523315.1,93.23000336,type,Marinomonas arenicola,85.83999634,genus_match,category_na,OK,na,,no-type,,no_type,na,,Marinomonas sp.,Marinomonas sp.,64,,3190,16,3270,Best-placed reference protein set; GeneMarkS-2+,NCBI,2024-03-06,6.6,MegaHit v. 1.2.9,,,PRJNA1071982,PRJNA1071982,,MicroFlora Danica,SAMN40011705,collection_date,2022-07-29,,PRJNA1071982,,2022-07-29,Keywords: GSC:MIxS;MIMAG:6.0,Marinomonas sp.,1904862,NA,,Denmark,,,,MFD12155_ilm_asm_bin13,,MFD12155_ilm_asm_bin13,,Sediment from Urban Saltwater,2024-06-28T02:15:01.179,57.71596 N 10.58661 E,MIMAG,,Aalborg University,MIMAG.6.0,,2024-06-28T00:00:00.000,,live,2024-06-28T02:15:01.179,,2024-02-21T07:08:13.320,,Contig,ASM4964855v1,derived from metagenome,GCF_049648555.1,GCF_049648555.1-RS_2025_04_17,current,,2025-04-15,Illumina,current,The Microflora Danica Consortium,haploid,3441645,15,64444,1578211,46,30,95,95,95,15,64444,,3441645,3441645,90.06999969,52.63159943,3.910000086,Marinomonas,genus,1904862,v1.2.3,GCA_049648555.1,MFD12155_ilm_asm_bin13,,Marinomonas sp.,1904862,SOURCE_DATABASE_GENBANK,JBARYW01,https://www.ncbi.nlm.nih.gov/nuccore/JBARYW000000000.1
GCA_049650325.1,Bermanella sp.,84.62999725,GCA_008973715.1,0.170000002,type,Nitrincola schmidtii,0.180000007,low_coverage,category_na,Inconclusive,na,,no-type,,no_type,na,,Bermanella sp.,Bermanella sp.,45,,3148,10,3203,Best-placed reference protein set; GeneMarkS-2+,NCBI,2024-03-06,6.6,MegaHit v. 1.2.9,,,PRJNA1071982,PRJNA1071982,,MicroFlora Danica,SAMN40011678,collection_date,2022-07-29,,PRJNA1071982,,2022-07-29,Keywords: GSC:MIxS;MIMAG:6.0,Bermanella sp.,2024825,NA,,Denmark,,,,MFD12154_ilm_asm_bin14,,MFD12154_ilm_asm_bin14,,Sediment from Urban Saltwater,2024-06-28T02:16:42.888,57.71596 N 10.58661 E,MIMAG,,Aalborg University,MIMAG.6.0,,2024-06-28T00:00:00.000,,live,2024-06-28T02:16:42.888,,2024-02-21T07:08:13.003,,Contig,ASM4965032v1,derived from metagenome,,,,,2025-04-15,Illumina,current,The Microflora Danica Consortium,haploid,3271397,32,33986,1457846,44.5,30,184,184,184,32,33986,,3271397,3271397,,,,,,,,GCA_049650325.1,MFD12154_ilm_asm_bin14,,Bermanella sp.,2024825,SOURCE_DATABASE_GENBANK,JBARZX01,https://www.ncbi.nlm.nih.gov/nuccore/JBARZX000000000.1
